url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/deel/40300abf-f7bb-4f2b-a1dc-c3ba209f76df	2026-04-20	Ashby WebSearch — QA Automation	Senior QA Automation Engineer EMEA	Deel	skipped_title
https://jobs.ashbyhq.com/Deel/902d9221-d4c0-4756-ab99-c62fe62a6ef1	2026-04-20	Ashby WebSearch — QA Automation	Senior QA Automation Engineer LATAM	Deel	skipped_title
https://jobs.lever.co/foodsmart/7cd3c3d5-9afb-4c98-b4c6-c0a7bdb6504e	2026-04-20	Lever WebSearch	Software Development Engineer in Test (SDET)	Foodsmart	added
https://remotive.com/remote/jobs/software-development/senior-software-developer-in-test-sdet-automation-ai-4347885	2026-04-20	Remotive	Senior Software Developer in Test (SDET) – Automation & AI	Intrado Life & Safety	added
https://job-boards.greenhouse.io/cayuse/jobs/8512811002	2026-04-20	Greenhouse WebSearch	Software Development Engineer in Test (SDET)	Cayuse	skipped_title
https://jobs.ashbyhq.com/GPTZero/25fd569e-764d-40ba-bfc2-50d5c9934e6a	2026-04-20	Ashby WebSearch	Software Engineer in Test	GPTZero	skipped_title
https://jobs.lever.co/drivetrain/19a2250b-2c65-451b-b18c-e714aedacb36	2026-04-20	Lever WebSearch	SDET / Senior SDET	Drivetrain	skipped_title
https://job-boards.greenhouse.io/rapp/jobs/7797791	2026-04-20	Greenhouse WebSearch	Senior SDET	RAPP	skipped_title
https://job-boards.greenhouse.io/coderoad/jobs/4211782009	2026-04-20	Greenhouse WebSearch	Senior QA Automation Engineer	CodeRoad	skipped_title
https://jobs.lever.co/3pillarglobal/3c80997d-4786-412c-b9a4-c743a5a3cc79	2026-04-20	Lever WebSearch	Senior SDET (Java/Angular - Playwright)	3Pillar Global	skipped_title
https://job-boards.greenhouse.io/litify/jobs/7813105	2026-04-20	Greenhouse WebSearch	QA Automation Engineer	Litify	skipped_title
https://job-boards.greenhouse.io/firmpilotailawfirmmarketing/jobs/5068572008	2026-04-20	Greenhouse API	Senior SDET	FirmPilot	skipped_expired
https://job-boards.greenhouse.io/dittoliveincorporated/jobs/4610066006	2026-04-20	Greenhouse WebSearch	Senior SDET	Ditto	skipped_expired
https://job-boards.greenhouse.io/appviewx/jobs/5799955004	2026-04-20	Greenhouse WebSearch	Senior SDET Engineer I	AppViewX	skipped_expired
https://jobs.lever.co/proof/b166af7e-3328-4c50-9561-dde7cc009501	2026-04-20	Lever WebSearch	Senior Software QA Engineer	Proof	skipped_expired
https://job-boards.greenhouse.io/quanata/jobs/5647318004	2026-04-20	Greenhouse WebSearch	Senior SDET Data QA	Quanata	skipped_expired
https://job-boards.greenhouse.io/onetrust/jobs/7608831	2026-04-20	Greenhouse WebSearch	Senior Quality Engineer SDET	OneTrust	skipped_expired
https://jobs.ashbyhq.com/kiwi/7a90455a-62f1-4c35-8a86-78d78af9be9f	2026-04-20	Ashby WebSearch	Senior QA Automation Engineer	Kiwi Financial	skipped_expired
https://jobs.ashbyhq.com/synthflow/c9f479c8-e5ee-487d-b157-ea83684eef0c	2026-04-20	Ashby WebSearch	Senior Software Engineer in Test	Synthflow AI	skipped_expired
https://jobs.ashbyhq.com/onebrief/a23da8c1-25ce-4b4f-8a25-ae02f4ba89f8	2026-04-20	Ashby WebSearch	Senior Test Automation Engineer	Onebrief	skipped_expired
https://job-boards.greenhouse.io/betterhelpcom/jobs/4806004008	2026-04-20	Greenhouse WebSearch	Software QA Engineer III	BetterHelp	skipped_expired
https://jobs.lever.co/Mediafly/8154f624-5de5-42af-b4b0-9ad048eb0c47	2026-04-20	Lever WebSearch	Senior SDET	Mediafly	skipped_expired
https://jobs.lever.co/greenlight/5ecf398c-e849-460c-825c-cb7a67dbf687	2026-04-20	Lever WebSearch	Senior SDET	Greenlight Financial	skipped_expired
https://jobs.lever.co/opengov/09e44e70-66f1-4e4d-aff0-ae0eca9cd53e	2026-04-20	Lever WebSearch	Staff SDET Engineer	OpenGov	skipped_expired
https://jobs.lever.co/BlackCloak/ab944dd8-80c5-4aee-b35f-c0a990a5fa51	2026-04-20	Lever WebSearch	Sr SDET	BlackCloak	skipped_expired
https://job-boards.greenhouse.io/seamlessai/jobs/4087674004	2026-04-20	Greenhouse WebSearch	Senior QA Engineer	Seamless.AI	skipped_expired
https://job-boards.greenhouse.io/onestudyteam/jobs/5826366004	2026-04-21	Greenhouse WebSearch	Senior Test Automation Engineer	OneStudyTeam	added
https://job-boards.greenhouse.io/elitetechnology/jobs/5184327008	2026-04-21	Greenhouse WebSearch	Lead Software Engineer in Test	Elite Technology	added
https://builtin.com/job/senior-software-development-engineer-test-sdet/8483864	2026-04-21	BuiltIn WebSearch	Senior Software Development Engineer in Test (SDET)	Fullbay	added
https://jobs.lever.co/smiledigitalhealth/53d94bc5-48d2-4ae3-a76a-d2618dac6983	2026-04-21	Lever WebSearch	QA Automation Tester - Remote US	Smile Digital Health	added
https://job-boards.greenhouse.io/medeloop/jobs/4224606009	2026-04-21	Greenhouse WebSearch	Senior SDET	Medeloop	added
https://jobs.lever.co/netomi/d637db60-0873-4dc6-8b23-b8fa78a04727	2026-04-21	Lever WebSearch	SDET II	Netomi	skipped_location
https://jobs.ashbyhq.com/menlosecurity/5e7e14a0-64ad-4600-a871-6ffc860e2648	2026-04-21	Ashby WebSearch	SDET – Tools & Infrastructure	Menlo Security	skipped_expired
https://jobs.ashbyhq.com/maximustribe/5e570d66-c091-4042-886a-91e3b405d3f3	2026-04-21	Ashby WebSearch	Lead QA Engineer	Maximus Health	skipped_expired
https://jobs.ashbyhq.com/maximustribe/09b686e4-4f38-4758-a4a0-6da7569104bf	2026-04-21	Ashby WebSearch	Senior QA Engineer	Maximus Health	skipped_expired
https://jobs.ashbyhq.com/machinify/3ac0a2a3-ab89-4a6d-8766-0cfcf6f3d94e	2026-04-21	Ashby WebSearch	QA Automation Engineer	Machinify	skipped_expired
https://job-boards.greenhouse.io/reach/jobs/8169924002	2026-04-21	Greenhouse WebSearch	Senior SDET	Reach Financial	skipped_expired
https://job-boards.greenhouse.io/collectorsuniverse/jobs/5451432004	2026-04-21	Greenhouse WebSearch	Staff QA Automation Engineer/SDET	Collectors	skipped_expired
https://job-boards.greenhouse.io/kunai/jobs/5000195007	2026-04-21	Greenhouse WebSearch	Software QA Lead	Kunai	skipped_expired
https://job-boards.greenhouse.io/hudl/jobs/7183239	2026-04-21	Greenhouse WebSearch	Lead QA Engineer – Frontends	Hudl	skipped_expired
https://job-boards.greenhouse.io/mattermost/jobs/4889100008	2026-04-21	Greenhouse WebSearch	SDET – Deployment Engineering	Mattermost	skipped_expired
https://job-boards.greenhouse.io/carta/jobs/6651499003	2026-04-21	Greenhouse WebSearch	Senior QA Automation Engineer	Carta	skipped_expired
https://job-boards.greenhouse.io/tailscale/jobs/4571327005	2026-04-21	Greenhouse WebSearch	QA Engineer	Tailscale	skipped_expired
https://boards.greenhouse.io/pantherlabs/jobs/4408313003	2026-04-21	Greenhouse WebSearch	Senior SDET	Panther Labs	skipped_expired
https://boards.greenhouse.io/onxmaps/jobs/4252823006	2026-04-21	Greenhouse WebSearch	Senior SDET – Montana/Remote	onX	skipped_expired
https://jobs.lever.co/bluesight/3ad25798-f14c-47c0-927e-dcc8be57aab5	2026-04-21	Lever WebSearch	SDET	Bluesight	skipped_expired
https://jobs.lever.co/softrams/81593fd6-74b4-4506-81aa-cecf7250adc6	2026-04-21	Lever WebSearch	Senior Automation Test Engineer	Softrams	skipped_expired
https://jobs.lever.co/nrccua/2c0fdf1b-2e24-4142-9010-6239bc61c4ea	2026-04-21	Lever WebSearch	QA Lead Engineer	Encoura	skipped_expired
https://weworkremotely.com/remote-jobs/kodify-media-group-software-development-engineer-in-test-sdet	2026-04-21	WeWorkRemotely WebSearch	SDET	Kodify Media Group	skipped_expired
https://weworkremotely.com/remote-jobs/icario-software-engineer-in-test-sdet	2026-04-21	WeWorkRemotely WebSearch	Software Engineer in Test (SDET)	Icario	skipped_expired
https://himalayas.app/companies/ecp/jobs/senior-software-development-engineer-in-test-sdet	2026-04-21	Himalayas WebSearch	Senior SDET	ECP	skipped_expired
https://remotive.com/remote/jobs/qa/senior-sdet-senior-qa-automation-engineer-4124516	2026-04-21	Remotive WebSearch	Senior SDET / Senior QA Automation Engineer	RapidFort	skipped_dup
https://job-boards.greenhouse.io/quanata/jobs/5752862004	2026-04-21	Greenhouse WebSearch	SDET	Quanata	added
https://job-boards.greenhouse.io/tailscale/jobs/4571322005	2026-04-21	Greenhouse WebSearch	Test Automation Engineer	Tailscale	added
